cap_id,school_name,subjectcluster,degree_name,subjectdegreecluster
1631,strayer-university,1,associates,11
1821,southern-new-hampshire-university,1,associates,11
2523,keiser-university,1,associates,11
2549,iowa-central-community-college,1,associates,11
2989,ultimate-medical-academy,1,associates,11
3027,grantham-university,1,associates,11
3335,university-of-cincinnati-online,1,associates,11
3441,strayer-university,1,associates,11
3445,university-of-cincinnati-online,1,associates,11
3447,university-of-cincinnati-online,1,associates,11
3503,indiana-wesleyan-university,1,associates,11
3593,central-christian-college-of-kansas,1,associates,11
962,herzing-university,1,associates,11
1002,saint-marys-university-minnesota,1,bachelors,12
1022,sacred-heart-university,1,bachelors,12
1032,anna-maria-college,1,bachelors,12
1068,utica-college,1,bachelors,12
1429,brandman-university,1,bachelors,12
1621,benedictine-university,1,bachelors,12
1623,capella-university,1,bachelors,12
1631,strayer-university,1,bachelors,12
1821,southern-new-hampshire-university,1,bachelors,12
1823,george-washington-university-school-of-medicine-health-sciences,1,bachelors,12
1825,brandman-university,1,bachelors,12
1907,university-of-texas-arlington,1,bachelors,12
1987,full-sail-university,1,bachelors,12
1989,full-sail-university,1,bachelors,12
2223,university-of-louisiana-at-lafayette,1,bachelors,12
2261,university-of-cincinnati-online,1,bachelors,12
2395,university-of-cincinnati-online,1,bachelors,12
2397,university-of-cincinnati-online,1,bachelors,12
2399,university-of-cincinnati-online,1,bachelors,12
2401,university-of-cincinnati-online,1,bachelors,12
2403,university-of-cincinnati-online,1,bachelors,12
2405,university-of-cincinnati-online,1,bachelors,12
2445,university-of-west-florida,1,bachelors,12
2451,university-of-west-florida,1,bachelors,12
2505,aurora-university,1,bachelors,12
2517,malone-university,1,bachelors,12
2521,notre-dame-college,1,bachelors,12
2525,keiser-university,1,bachelors,12
2531,los-angeles-pacific-university,1,bachelors,12
2563,university-of-cincinnati-online,1,bachelors,12
2591,concordia-university-st-paul,1,bachelors,12
2599,campbellsville-university,1,bachelors,12
2605,university-of-west-alabama,1,bachelors,12
2611,rivier-university,1,bachelors,12
2857,brandman-university,1,bachelors,12
2921,rider-university,1,bachelors,12
2955,southern-new-hampshire-university,1,bachelors,12
2981,southern-new-hampshire-university,1,bachelors,12
3019,utica-college,1,bachelors,12
3025,the-university-of-arizona,1,bachelors,12
3031,champlain-college-online,1,bachelors,12
3175,university-of-louisville-online,1,bachelors,12
3277,maryville-university,1,bachelors,12
3311,colorado-state-university-global-campus,1,bachelors,12
3323,western-governors-university,1,bachelors,12
3331,the-university-of-arizona,1,bachelors,12
3347,western-governors-university,1,bachelors,12
3397,southern-new-hampshire-university,1,bachelors,12
3399,southern-new-hampshire-university,1,bachelors,12
3401,eastern-kentucky-university,1,bachelors,12
3407,maryville-university,1,bachelors,12
3419,western-governors-university,1,bachelors,12
3421,western-governors-university,1,bachelors,12
3425,london-school-of-economics-and-political-science,1,bachelors,12
3441,strayer-university,1,bachelors,12
3445,university-of-cincinnati-online,1,bachelors,12
3449,university-of-cincinnati-online,1,bachelors,12
3489,university-of-cincinnati-online,1,bachelors,12
3491,lamar-university-foundsm,1,bachelors,12
3493,arkansas-state-university-school-of-nursing,1,bachelors,12
3501,indiana-wesleyan-university,1,bachelors,12
3545,campbellsville-university,1,bachelors,12
3549,concordia-university-st-paul,1,bachelors,12
3561,widener-university-online,1,bachelors,12
3565,university-of-saint-mary,1,bachelors,12
3583,northern-kentucky-university,1,bachelors,12
3593,central-christian-college-of-kansas,1,bachelors,12
3597,alvernia-university,1,bachelors,12
3603,bethel-university,1,bachelors,12
3607,dyouville-college,1,bachelors,12
3617,east-central-university,1,bachelors,12
3621,eastern-oregon-university,1,bachelors,12
3627,greenville-university,1,bachelors,12
3631,husson-university,1,bachelors,12
3635,illinois-college,1,bachelors,12
3637,king-university,1,bachelors,12
3645,lindenwood-university,1,bachelors,12
3649,notre-dame-of-maryland-university,1,bachelors,12
3653,point-university,1,bachelors,12
3657,st-ambrose-university,1,bachelors,12
3661,shawnee-state-university,1,bachelors,12
3671,virginia-wesleyan-university,1,bachelors,12
56,jacksonville-university,1,bachelors,12
855,walden-university,1,bachelors,12
877,utica-college,1,bachelors,12
962,herzing-university,1,bachelors,12
965,capella-university,1,bachelors,12
973,university-of-alabama-at-birmingham,1,bachelors,12
976,maryville-university,1,bachelors,12
1010,jacksonville-university,1,masters,13
1016,benedictine-university,1,masters,13
1019,university-of-dayton-mba,1,masters,13
1023,georgetown-university-mcdonough-school-of-business,1,masters,13
1032,anna-maria-college,1,masters,13
1033,st-johns-university,1,masters,13
1040,saint-josephs-university,1,masters,13
1048,american-university,1,masters,13
1049,seton-hall-university,1,masters,13
1051,johns-hopkins-university,1,masters,13
1056,st-johns-university,1,masters,13
1058,sacred-heart-university,1,masters,13
1059,seton-hall-university,1,masters,13
1061,the-university-of-scranton,1,masters,13
1068,utica-college,1,masters,13
1071,george-mason-university,1,masters,13
1072,saint-marys-university-minnesota,1,masters,13
1078,purdue-university,1,masters,13
1082,antioch-university,1,masters,13
1083,american-university,1,masters,13
1085,george-washington-university-education,1,masters,13
1088,southern-new-hampshire-university,1,masters,13
1092,university-of-denver,1,masters,13
1098,johns-hopkins-university,1,masters,13
1108,johns-hopkins-bloomberg-school-of-public-health,1,masters,13
1110,queens-university-of-charlotte,1,masters,13
1130,mba-american,1,masters,13
1134,psychology-pepperdine,1,masters,13
1144,university-of-denver,1,masters,13
1178,georgetown-university,1,masters,13
1194,george-mason-university,1,masters,13
1196,our-lady-of-the-lake-university,1,masters,13
1206,syracuse-university,1,masters,13
1212,syracuse-university,1,masters,13
1224,university-of-denver,1,masters,13
1226,university-of-denver,1,masters,13
1234,fordham-university,1,masters,13
1236,george-washington-university,1,masters,13
1238,george-washington-university,1,masters,13
1246,our-lady-of-the-lake-university,1,masters,13
1252,university-of-dayton-mba,1,masters,13
1254,mba-american,1,masters,13
1274,simmons-university-school-of-nursing,1,masters,13
1286,university-of-southern-california-online,1,masters,13
1288,nyu,1,masters,13
1290,psychology-pepperdine,1,masters,13
1322,nyu,1,masters,13
1324,university-of-southern-california-online,1,masters,13
1342,accounting-syracuse,1,masters,13
1344,northwestern-university,1,masters,13
1356,syracuse-university-college-of-engineering-and-computer-science,1,masters,13
1360,johns-hopkins-university,1,masters,13
1365,pepperdine-university-online,1,masters,13
1383,northwestern-university,1,masters,13
1385,university-of-southern-california-school-of-social-work,1,masters,13
1387,simmons-university,1,masters,13
1389,university-of-denver,1,masters,13
1391,fordham-university,1,masters,13
1393,simmons-university-school-of-nursing,1,masters,13
1397,university-of-southern-california-online,1,masters,13
1399,our-lady-of-the-lake-university,1,masters,13
1431,brandman-university,1,masters,13
1457,benedictine-university,1,masters,13
1459,queens-university-of-charlotte,1,masters,13
